iter	Passed	Remaining
0	3	347
1	6	298
2	8	275
3	10	251
4	12	245
5	15	241
6	18	245
7	21	242
8	23	237
9	26	234
10	28	231
11	31	232
12	34	230
13	37	227
14	39	223
15	41	219
16	44	217
17	47	215
18	49	212
19	51	207
20	54	205
21	56	202
22	59	199
23	61	194
24	64	192
25	66	188
26	68	186
27	71	183
28	73	180
29	76	178
30	79	177
31	82	175
32	85	173
33	87	170
34	90	167
35	93	165
36	95	163
37	98	160
38	100	157
39	103	154
40	105	151
41	106	147
42	109	144
43	111	141
44	114	139
45	116	136
46	119	134
47	121	132
48	124	129
49	126	126
50	129	123
51	131	121
52	134	118
53	136	116
54	138	113
55	141	111
56	144	108
57	146	106
58	149	103
59	151	101
60	154	98
61	157	96
62	159	93
63	161	90
64	163	88
65	166	85
66	168	83
67	171	80
68	173	77
69	175	75
70	178	72
71	180	70
72	183	67
73	185	65
74	188	62
75	190	60
76	192	57
77	195	55
78	198	52
79	200	50
80	203	47
81	205	45
82	208	42
83	210	40
84	213	37
85	215	35
86	218	32
87	220	30
88	223	27
89	225	25
90	228	22
91	231	20
92	233	17
93	236	15
94	238	12
95	241	10
96	243	7
97	246	5
98	248	2
99	251	0
